hr,lat,lon,mag,fingure_print
1,-16.88,65.56,6.7,1206.4468
2,-61.14,81.67,6.29,1801.8328
3,-65.93,86.25,4.61,1445.4708
4,-47.98,73.81,5.51,2162.612
5,-3.92,62.97,5.96,1070.1155
6,-66.38,-141.61,5.7,1605.8462
7,1.75,61.94,5.59,1176.0834
8,-32.83,68.74,6.13,1427.1946
9,-79.14,127.79,6.18,1419.9628
10,-75.9,105.64,6.19,849.5287
11,-63.29,81.98,6.43,1255.5171
12,-79.07,124.44,5.94,1515.3665
13,-78.67,-175.91,5.68,1681.2457
14,-63.24,81.66,6.07,1216.0566
15,-32.84,68.27,2.06,1439.354
16,-69.04,88.21,5.99,1490.815
17,-25.45,66.55,6.19,1449.2312
18,-76.25,105.31,6.06,868.4338
19,-36.42,69.03,6.23,1227.0933
20,17.0,59.02,6.01,1723.2714
21,-3.27,62.48,2.27,1049.2332
22,-43.51,71.01,5.53,2286.5095
23,-62.02,-136.25,6.33,2276.8071
24,-80.63,154.76,5.42,1174.8427
25,-69.6,-144.34,3.88,2005.6234
26,-50.43,73.13,5.51,1703.4792
27,-16.21,64.48,5.03,1212.2772
28,-5.26,62.62,6.74,1207.9504
29,-66.03,83.01,5.84,1513.7377
30,-34.77,-124.63,5.28,1205.0757
31,-72.6,92.31,5.85,1886.6503
32,-43.58,-126.98,6.64,1384.6716
33,-75.06,97.76,4.89,1355.9808
34,-81.13,153.7,5.41,1216.7938
35,-78.34,-167.16,5.25,1977.105
36,-14.2,63.84,6.16,1372.9263
37,-77.1,103.68,5.25,1137.9304
38,-24.55,65.45,6.73,1169.2042
39,-46.68,70.57,2.83,2127.6646
40,-35.12,67.44,6.3,1214.6227
41,-21.27,64.73,5.72,1422.6359
42,-81.49,141.72,5.94,1422.731
43,-81.54,143.48,6.31,1417.3185
44,-29.02,66.01,6.25,1460.5325
45,-41.83,68.7,4.8,2210.571
46,-68.76,83.13,5.12,1321.2415
47,-32.06,-123.91,5.77,1631.3584
48,-78.23,104.89,4.44,1127.6266
49,-39.81,68.08,6.24,2365.0266
50,-52.98,72.14,5.79,1283.8313
51,-70.44,84.94,5.75,1217.5465
52,-30.7,66.07,6.45,1198.1377
53,-34.9,66.9,6.35,1224.4197
54,-78.99,-165.8,6.17,1827.0701
55,14.22,59.11,6.35,1277.8916
56,-18.82,63.77,6.15,1411.0405
57,-81.18,178.47,5.67,1745.6948
58,-41.02,-125.79,6.49,1187.1553
59,-53.64,71.72,6.11,1346.8558
60,-1.06,61.17,5.74,1142.6064
61,-79.47,107.87,6.47,1118.8414
62,-14.53,62.99,5.89,1381.3291
63,-23.7,64.38,4.61,1179.6987
64,-38.2,-125.07,6.77,1328.3877
65,-11.09,62.41,6.14,1541.3069
66,-78.78,102.79,6.45,1147.9167
67,-60.07,74.11,6.17,2265.0376
68,-25.61,64.41,4.52,1090.3892
69,-50.83,70.0,6.05,1428.0033
70,-18.68,63.3,6.11,1358.0525
71,-30.84,65.21,5.87,1112.3344
72,-69.4,80.71,6.46,1248.9867
73,-72.58,-143.2,6.33,1624.6223
74,-70.19,81.02,3.56,1291.2429
75,-21.74,63.54,6.33,1604.0677
76,-13.68,62.37,6.52,1513.9215
77,-51.9,-128.35,4.23,1432.5416
78,-31.47,64.87,5.9,1181.2063
79,-29.52,64.47,5.79,1254.5046
80,-53.9,70.09,5.37,1370.8877
81,-51.18,69.07,6.56,1424.2186
82,-24.52,63.63,5.18,1027.7253
83,-47.27,-126.87,5.51,1624.0667
84,-83.15,164.48,5.18,1626.9169
85,-80.2,102.49,5.12,1234.0552
86,-48.78,67.81,6.23,1836.5516
87,-39.58,-125.04,5.97,1037.6896
88,-73.64,82.66,6.39,2151.907
89,-82.7,-178.89,6.55,1439.2585
90,-23.98,62.93,7.39,1247.8158
91,-10.63,61.32,5.57,1178.4988
93,-0.88,60.21,5.4,1252.6985
94,-64.27,72.73,6.07,1880.2625
96,-9.62,61.08,5.74,1137.9102
97,-60.26,70.27,5.77,1976.4507
98,-39.77,-124.81,2.8,943.9
99,-73.98,-140.02,2.39,1508.5898
100,-72.68,-138.42,3.94,1626.8376
101,-62.27,70.5,6.19,1816.2815
102,-84.35,132.16,5.98,1719.5747
103,-44.62,64.9,5.06,2066.9312
104,-18.28,61.43,5.17,1364.2684
105,-82.23,-162.36,4.81,1617.1013
106,-46.06,65.11,6.06,1900.8892
107,-52.26,66.38,6.04,1890.4155
108,-81.4,96.13,6.43,1677.9036
109,-76.35,-141.94,5.43,1681.2858
110,-25.75,62.06,6.26,1462.4812
111,-66.2,-131.91,6.26,1736.2349
112,14.2,58.26,6.21,1427.1494
113,-2.79,59.71,5.94,1189.6323
114,-32.89,62.58,5.23,1381.1555
115,-76.75,80.42,6.14,1946.1697
116,-83.15,-164.92,6.57,1495.5524
117,-66.27,70.43,5.72,1679.6674
118,-84.19,113.13,5.19,1522.2902
119,-75.53,-138.97,6.19,1538.3414
120,-68.52,-132.52,5.69,1180.9039
121,3.73,59.06,6.18,1263.9515
122,-29.1,61.84,5.87,1613.155
123,-8.24,59.95,4.73,931.3269
124,-9.92,60.09,5.6,930.2407
125,-67.98,-131.75,4.77,1351.6167
126,-54.02,-126.78,4.37,835.5422
127,-54.01,-126.78,4.54,900.43756
128,-19.24,60.71,6.7,1333.7338
129,8.16,58.56,6.42,1530.7816
130,0.14,59.16,4.16,1554.8756
131,-42.36,63.06,5.38,1781.4547
132,-55.61,65.45,5.67,2260.2695
133,-35.1,62.18,6.67,1226.3994
134,-34.41,62.04,6.3,1224.8622
135,-7.88,59.72,5.93,981.5563
136,-53.97,-126.54,5.09,919.17285
137,3.93,58.75,6.48,1312.76
138,-85.4,179.99,5.55,1861.4493
139,-45.79,-125.01,6.13,1509.7803
140,-64.55,-128.97,5.57,1549.4799
141,-49.3,63.23,6.4,1546.032
142,-66.15,67.11,5.2,1531.3511
143,-63.1,65.88,5.93,1944.632
144,-8.64,59.33,5.08,869.54443
145,-49.49,62.89,6.41,1536.7615
146,-2.49,58.92,5.79,1192.7153
147,-68.9,-130.27,5.51,1169.7367
148,-62.16,-127.83,6.06,1377.1571
149,-35.5,61.19,6.5,1340.9749
150,-77.33,74.25,6.45,1649.8834
151,-84.48,96.9,6.06,1374.7881
152,-18.31,59.82,5.13,1302.0037
153,-8.91,59.22,3.66,799.4867
154,-29.05,60.53,4.36,1692.6199
155,-47.49,62.3,5.89,1603.2635
156,-38.74,61.26,6.47,1533.5209
157,-27.38,60.3,5.48,1794.7307
158,19.63,57.47,6.4,1581.3689
159,-86.03,111.32,5.57,1321.8286
160,-51.93,-125.46,6.42,1238.7927
161,-59.55,63.94,6.39,2242.9453
162,-62.61,-127.41,6.41,1317.8075
163,-33.47,60.43,4.37,1215.2742
164,-13.47,59.12,5.43,1146.6561
165,-31.94,60.13,3.27,1595.8088
166,-41.53,60.82,5.87,1297.324
167,-41.35,60.64,5.36,1329.2634
168,-6.3,58.58,2.23,1282.2382
169,-43.96,-124.22,6.85,1459.3528
170,-82.73,-142.13,6.69,2270.5503
171,-72.18,-129.65,6.01,1347.67
172,-79.09,71.08,6.49,1337.2136
173,-85.86,94.21,6.14,1187.8713
174,-67.08,63.95,5.91,1737.2109
175,-23.37,59.24,5.33,1851.8947
176,-57.61,-125.56,5.89,1630.1165
177,3.29,58.02,5.83,1207.3564
178,-38.19,59.91,6.04,1531.8737
179,-12.33,58.59,4.8,1240.0724
180,-70.94,-128.31,4.59,1277.1711
181,-4.1,58.23,6.17,995.77576
183,-60.57,-125.65,5.7,1527.8583
184,-15.82,58.48,4.94,1198.9243
185,-78.52,-131.54,6.06,1795.0574
186,-56.83,-124.92,5.98,1458.53
187,-51.63,-124.43,5.39,1431.0088
188,-80.68,68.69,2.04,1493.1454
189,-14.99,58.28,5.67,1080.2527
190,-74.78,64.16,6.02,1214.5787
191,-59.63,-125.08,4.36,1516.2504
192,12.12,57.45,5.66,1322.499
193,-14.57,58.22,4.54,1042.4885
194,-73.39,63.31,4.76,1600.124
195,-78.6,-130.14,5.9,1826.0314
196,-7.64,57.95,5.42,961.42535
197,-84.66,73.98,5.24,1118.3976
198,-74.4,-127.36,5.94,1485.6625
199,-54.61,-124.31,6.07,1124.054
200,6.46,57.5,6.33,1402.7638
201,-67.46,61.0,6.15,1944.2689
202,-63.39,-125.07,6.15,1496.1038
203,-75.68,62.95,6.15,1258.8298
204,-7.56,57.81,6.52,919.83813
205,-18.0,58.05,6.05,1237.7244
206,-79.21,64.45,6.47,1475.706
207,-3.29,57.67,6.39,988.19025
208,11.98,57.31,5.41,1363.5018
209,-69.54,-125.68,5.8,1385.5964
210,-85.24,71.86,5.5,986.4762
211,-47.38,58.81,5.38,1883.6631
212,9.8,57.32,5.87,1497.1084
213,-50.88,58.78,5.5,2012.019
214,-43.28,58.43,6.13,1420.4811
215,-38.59,58.26,4.06,1293.4592
216,-56.12,58.87,5.99,1214.2191
217,-41.94,58.18,6.54,1435.8293
218,-80.89,62.66,5.7,1575.5131
219,-5.05,57.4,3.44,999.81866
220,-84.54,65.45,5.57,1282.4558
221,-55.56,58.45,5.93,1350.9291
222,-57.57,58.51,5.75,1381.2773
223,-11.9,57.49,4.89,926.6756
224,-55.28,58.27,4.43,1404.1365
225,-45.92,57.91,5.07,1878.1273
226,-21.79,57.4,4.53,1780.7872
227,-76.42,59.16,5.59,1527.6177
228,-86.97,66.64,5.9,925.6453
229,-70.42,-124.21,6.27,1340.9962
230,-35.16,57.49,7.0,1275.9769
231,-35.16,57.49,7.1,1275.9769
